index,label,test_support,correct,per_class_accuracy,independent_real_tested
617,rillaboom,4,4,1.0,True
618,riolu,4,4,1.0,True
619,roaring-moon,4,4,1.0,True
620,rockruff,4,3,0.75,True
621,rolycoly,4,4,1.0,True
622,rookidee,4,4,1.0,True
623,roselia,4,4,1.0,True
624,roserade,4,4,1.0,True
625,rotom-drone,0,0,,False
626,rotom-fan,4,4,1.0,True
627,rotom-frost,4,4,1.0,True
628,rotom-heat,4,4,1.0,True
629,rotom-mow,4,4,1.0,True
630,rotom-phone,0,0,,False
631,rotom-pokedex,0,0,,False
632,rotom-wash,4,4,1.0,True
633,rowlet,4,3,0.75,True
634,rufflet,4,4,1.0,True
635,runerigus,4,3,0.75,True
636,samurott,4,4,1.0,True
637,samurott-hisui,4,4,1.0,True
638,sandaconda,4,3,0.75,True
639,sandile,4,4,1.0,True
640,sandshrew-alola,4,4,1.0,True
641,sandslash-alola,4,4,1.0,True
642,sandy-shocks,4,4,1.0,True
643,sandygast,4,3,0.75,True
644,sawsbuck,4,2,0.5,True
645,sawsbuck-autumn,0,0,,False
646,sawsbuck-summer,0,0,,False
647,sawsbuck-winter,4,4,1.0,True
648,scatterbug,4,4,1.0,True
649,sceptile,4,4,1.0,True
650,scizor,4,4,1.0,True
651,scolipede,4,3,0.75,True
652,scorbunny,4,3,0.75,True
653,scovillain,4,4,1.0,True
654,scrafty,4,4,1.0,True
655,scraggy,4,4,1.0,True
656,scream-tail,4,3,0.75,True
657,scyther,4,4,1.0,True
658,sealeo,4,4,1.0,True
659,seedot,4,4,1.0,True
660,seel,4,4,1.0,True
661,seismitoad,4,4,1.0,True
662,serperior,4,4,1.0,True
663,servine,4,3,0.75,True
664,seviper,4,4,1.0,True
665,sewaddle,4,4,1.0,True
666,shaymin-land,4,4,1.0,True
667,shellos,4,4,1.0,True
668,shellos-east,0,0,,False
669,shelmet,4,4,1.0,True
670,shiftry,4,4,1.0,True
671,shiinotic,4,4,1.0,True
672,shinx,4,4,1.0,True
673,shroodle,4,4,1.0,True
674,shroomish,4,4,1.0,True
675,shuckle,4,4,1.0,True
676,silcoon,4,4,1.0,True
677,silicobra,4,4,1.0,True
678,simipour,4,4,1.0,True
679,simisage,4,1,0.25,True
680,simisear,4,4,1.0,True
681,sinistcha,4,4,1.0,True
682,sinistea,4,4,1.0,True
683,sirfetchd,4,3,0.75,True
684,sizzlipede,4,4,1.0,True
685,skeledirge,4,4,1.0,True
686,skiddo,4,4,1.0,True
687,skiploom,4,4,1.0,True
688,skitty,4,4,1.0,True
689,skrelp,4,3,0.75,True
690,skwovet,4,3,0.75,True
691,slakoth,4,4,1.0,True
692,sliggoo,4,2,0.5,True
693,sliggoo-hisui,4,4,1.0,True
694,slither-wing,4,4,1.0,True
695,slowbro,4,4,1.0,True
696,slowbro-galar,4,4,1.0,True
697,slowking,4,4,1.0,True
698,slowking-galar,4,4,1.0,True
699,slowpoke,4,4,1.0,True
700,slowpoke-galar,4,4,1.0,True
701,slugma,4,4,1.0,True
702,slurpuff,4,4,1.0,True
703,smeargle,4,4,1.0,True
704,smoliv,4,4,1.0,True
705,smoochum,4,4,1.0,True
706,sneasel,4,4,1.0,True
707,sneasel-hisui,4,2,0.5,True
708,sneasler,4,3,0.75,True
709,snivy,4,3,0.75,True
710,snom,4,3,0.75,True
711,snorlax,4,4,1.0,True
712,snorunt,4,4,1.0,True
713,snover,4,3,0.75,True
714,snubbull,4,2,0.5,True
715,sobble,4,4,1.0,True
716,solosis,4,4,1.0,True
717,spectrier,4,4,1.0,True
718,spewpa,4,4,1.0,True
719,spheal,4,4,1.0,True
720,spidops,4,4,1.0,True
721,spinarak,4,4,1.0,True
722,spinda,4,4,1.0,True
723,spiritomb,4,4,1.0,True
724,sprigatito,4,3,0.75,True
725,spritzee,4,4,1.0,True
726,squawkabilly,4,3,0.75,True
727,squawkabilly-blue-plumage,4,2,0.5,True
728,squawkabilly-white-plumage,4,2,0.5,True
729,squawkabilly-yellow-plumage,4,2,0.5,True
730,squirtle,4,4,1.0,True
731,stantler,4,3,0.75,True
732,staraptor,4,4,1.0,True
733,staravia,4,3,0.75,True
734,starly,4,4,1.0,True
735,starmie,4,4,1.0,True
736,staryu,4,4,1.0,True
737,steenee,4,4,1.0,True
738,stonjourner,4,3,0.75,True
739,stoutland,4,4,1.0,True
740,stufful,4,4,1.0,True
741,stunfisk-galar,4,4,1.0,True
742,sudowoodo,4,4,1.0,True
743,suicune,4,4,1.0,True
744,sunflora,4,4,1.0,True
745,sunkern,4,4,1.0,True
746,surskit,4,4,1.0,True
747,swablu,4,4,1.0,True
748,swadloon,4,3,0.75,True
749,swalot,4,4,1.0,True
750,swampert,4,3,0.75,True
751,swanna,4,4,1.0,True
752,swellow,4,4,1.0,True
753,swinub,4,4,1.0,True
754,swirlix,4,3,0.75,True
755,sylveon,4,0,0.0,True
756,tadbulb,4,4,1.0,True
757,taillow,4,4,1.0,True
758,tandemaus,4,2,0.5,True
759,tangrowth,4,4,1.0,True
760,tarountula,4,4,1.0,True
761,tatsugiri,4,4,1.0,True
762,tatsugiri-droopy,4,4,1.0,True
763,tatsugiri-stretchy,4,4,1.0,True
764,tauros-paldea-aqua-breed,4,4,1.0,True
765,tauros-paldea-blaze-breed,4,4,1.0,True
766,tauros-paldea-combat-breed,4,4,1.0,True
767,teddiursa,4,4,1.0,True
768,tentacool,4,4,1.0,True
769,tentacruel,4,4,1.0,True
770,tepig,4,3,0.75,True
771,terapagos,4,4,1.0,True
772,terapagos-terastal,4,4,1.0,True
773,terrakion,4,4,1.0,True
774,thievul,4,4,1.0,True
775,thwackey,4,3,0.75,True
776,timburr,4,4,1.0,True
